code,name,latitude,longitude,raio,validado
I463R,Monte D´Alva - Montijo - Refrigerado,38.714337103655,-8.9716784257603,50,True
I472,Adega Coop. de Cantanhede,40.35811,-8.59789,80,True
I534,Zeltica,38.756766130532,-9.3803599055573,50,True
I622,ColReis,40.96708,-8.49025,150,True
I685,Cruz Caliços,37.09942,-8.27078,150,True
I691,Brioxa,41.273877495877,-8.4631467455974,50,False
I889,Ecocompositos,39.030080258211,-8.9848206602618,68,True
I958,MMpet,40.05892091925,-8.6448995718277,50,True
I990,Nutre,40.550709428433,-8.7191278556518,384,True
K009,GFS-Arruda dos Vinhos,38.969504873697,-9.0291524203867,50,True
L210,Salvensen Secos,39.04927829091,-8.9203191986852,0,True
lidl,Lidl | Silvares-Guimarães ,41.447427559325,-8.3438696593768,90,True
M018,J M Fonseca,38.52192,-9.01031,400,True
M028,Viticale,38.206434435407,-7.7997020734491,50,True
M036,Sogevinus,41.13151318022,-8.6183935726601,50,True
M065,Propet,41.230113793046,-8.5367191267233,50,True
M071,Wine Concept,38.755101355193,-9.2195018001568,50,True
M531,Sabor a Mundo,38.87192814122,-9.0994822166877,50,True
M904,Zoopan,39.114593374851,-8.8631479893165,50,True
N044,Lactaçores,38.979333061174,-8.9743156092798,50,True
N079,Parmalat,38.59899603587,-8.6597800254822,180,True
N095,Ferbar Maia,41.260072932931,-8.6336777202318,50,True
N098,Sogrape,41.093277143194,-8.5344601539673,100,True
N126,Nestlé Portugal SA,40.806256176547,-8.5783424219513,140,True
N126C,Nestlé Carreras,38.906458804032,-8.880480821113,241,True
P161,Sotavinhos,40.72764861999,-8.4877414576721,80,True
P162,Misterwine,37.138909636102,-8.5045545975532,167,True
P262,Unilever,39.05381,-8.90694,400,True
P371A,Decante,38.740638452388,-9.228092431523,50,False
P846,Suavecel,41.62942,-8.76664,190,True
PONTUAL,TANSITARIO TIRGAL,41.234913711547,-8.6392879486084,11,True
